City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Katete,UG,-0.7818,29.7544,63.39,91,100,0.4,overcast clouds
278,Leningradskiy,RU,69.3833,178.4167,8.17,95,100,8.59,overcast clouds
279,Christchurch,NZ,-43.5333,172.6333,59.95,69,20,5.75,few clouds
280,Mehamn,NO,71.0357,27.8492,34.43,83,100,11.59,overcast clouds
281,Boone,US,39.0334,-92.3335,45.84,48,92,12.01,overcast clouds
282,Ljubovija,RS,44.1894,19.3767,54.39,90,96,4.52,overcast clouds
283,Gamba,GA,-2.65,10.0,76.62,92,98,3.65,overcast clouds
284,Kyaikkami,MM,16.08,97.5675,85.71,67,16,8.43,few clouds
285,Arkhara,RU,49.4212,130.0842,42.3,49,72,15.5,broken clouds
286,Prata,BR,-19.3072,-48.9242,58.37,87,0,5.86,clear sky
287,Fortuna,US,40.5982,-124.1573,41.94,94,100,3.44,moderate rain
288,Tuatapere,NZ,-46.1333,167.6833,50.86,68,35,11.68,scattered clouds
289,Lazaro Cardenas,MX,17.9583,-102.2,72.81,83,87,2.01,overcast clouds
290,Gidole,ET,5.65,37.3667,61.77,73,100,2.62,light rain
291,Bengkulu,ID,-3.8004,102.2655,85.35,66,100,8.19,overcast clouds
292,Lao Cai,VN,22.4833,103.95,92.89,51,49,5.66,scattered clouds
293,Vaitape,PF,-16.5167,-151.75,82.24,70,5,17.07,light rain
294,Thanh Hoa,VN,19.8,105.7667,86.0,64,96,13.53,overcast clouds
295,Miharu,JP,37.4333,140.4833,53.78,69,90,6.82,overcast clouds
296,Gornopravdinsk,RU,60.05,69.9,41.77,100,100,7.29,overcast clouds
297,Severo-Kurilsk,RU,50.6789,156.125,32.52,75,100,5.99,overcast clouds
298,Kloulklubed,PW,7.0419,134.2556,84.7,72,93,6.17,overcast clouds
299,Mazamari,PE,-11.3258,-74.5308,66.45,98,81,1.39,broken clouds
300,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,86,31,0.85,scattered clouds
301,Lindi,TZ,-10.0,39.7167,79.66,90,82,7.65,light rain
302,Poum,NC,-20.2333,164.0167,78.06,67,10,9.73,clear sky
303,Kikwit,CD,-5.041,18.8162,71.76,88,98,0.58,overcast clouds
304,Pala,TD,9.3642,14.9046,82.18,52,60,5.97,broken clouds
305,Bonfim,BR,3.0833,-59.95,74.01,84,100,2.73,overcast clouds
306,Camargo,MX,27.6667,-105.1667,70.72,13,32,10.51,scattered clouds
307,Olinda,BR,-8.0089,-34.8553,80.33,83,40,3.44,scattered clouds
308,Nome,US,64.5011,-165.4064,33.87,80,100,18.41,overcast clouds
309,Nanakuli,US,21.3906,-158.1547,76.95,67,0,11.5,clear sky
310,Grand Gaube,MU,-20.0064,57.6608,82.38,76,76,10.0,broken clouds
311,Iqaluit,CA,63.7506,-68.5145,-5.31,70,0,3.44,clear sky
312,Ossora,RU,59.2353,163.0719,29.48,75,48,3.87,scattered clouds
313,Gubkinskiy,RU,64.434,76.5026,32.83,99,100,14.41,light snow
314,Marawi,PH,7.9986,124.2928,78.58,76,95,5.19,overcast clouds
315,Katobu,ID,-4.9408,122.5276,88.52,60,86,1.74,overcast clouds
316,Batagay,RU,67.6333,134.6333,18.14,77,100,3.15,overcast clouds
317,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.71,99,100,1.7,overcast clouds
318,Bonavista,CA,48.6499,-53.1147,33.39,85,89,15.84,overcast clouds
319,Ostrovnoy,RU,68.0531,39.5131,27.77,91,85,11.54,overcast clouds
320,Pangai,TO,-19.8,-174.35,80.71,78,75,13.8,broken clouds
321,Hofn,IS,64.2539,-15.2082,45.32,99,100,2.86,overcast clouds
322,Kuching,MY,1.55,110.3333,87.22,74,40,10.36,thunderstorm
323,Vao,NC,-22.6667,167.4833,77.49,76,6,12.3,clear sky
324,Kenora,CA,49.8167,-94.4337,18.57,86,100,9.22,overcast clouds
325,Bitam,GA,2.076,11.5007,69.78,96,68,0.49,broken clouds
326,Kangaatsiaq,GL,68.3065,-53.4641,-6.7,98,83,7.25,broken clouds
327,Sinjai,ID,-5.1241,120.253,86.61,68,72,6.73,broken clouds
328,Kailua,US,21.4022,-157.7394,76.98,78,100,16.11,light rain
329,Coos Bay,US,43.3665,-124.2179,43.0,93,0,3.44,clear sky
330,Port Augusta,AU,-32.5,137.7667,88.52,20,0,3.76,clear sky
331,Iskateley,RU,67.6803,53.1512,20.7,88,25,6.87,scattered clouds
332,Milkovo,RU,54.7167,158.6167,35.47,54,52,3.29,broken clouds
333,Borodino,RU,55.9106,94.8983,55.63,51,97,10.31,overcast clouds
334,Hvide Sande,DK,56.0045,8.1294,43.09,84,42,8.01,scattered clouds
335,Orsha,BY,54.5153,30.4053,34.57,86,100,14.99,overcast clouds
336,Awjilah,LY,29.1081,21.2869,79.23,13,99,21.23,overcast clouds
337,Ballina,AU,-28.8667,153.5667,67.01,98,93,14.0,overcast clouds
338,Kruisfontein,ZA,-34.0033,24.7314,52.88,73,49,4.09,light rain
339,Salym,RU,60.0625,71.4789,48.04,91,95,11.27,light rain
340,Cocobeach,GA,1.0002,9.5823,79.07,86,100,3.74,overcast clouds
341,Rawlins,US,41.7911,-107.2387,29.35,64,100,0.0,overcast clouds
342,Namibe,AO,-15.1961,12.1522,72.19,78,85,4.68,overcast clouds
343,Franklin,US,39.9667,-83.0166,56.43,77,100,12.66,light rain
344,Comarapa,BO,-17.9,-64.4833,53.1,96,99,2.37,overcast clouds
345,Namatanai,PG,-3.6667,152.4333,84.02,71,33,7.67,scattered clouds
