City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,Cehegin,38.0924,-1.7985,59.5,61,1,3.31,ES,2022-04-15 21:26:41
272,Namatanai,-3.6667,152.4333,80.4,81,40,5.61,PG,2022-04-15 21:26:42
273,Olafsvik,64.8945,-23.7142,45.99,86,100,30.98,IS,2022-04-15 21:26:42
274,Necochea,-38.5473,-58.7368,62.38,61,0,8.25,AR,2022-04-15 21:23:41
275,Esperance,-33.8667,121.9,55.24,78,23,11.01,AU,2022-04-15 21:26:42
276,Naruja,41.9069,41.9542,43.12,81,13,3.4,GE,2022-04-15 21:26:43
277,Hay River,60.8156,-115.7999,21.16,68,75,10.36,CA,2022-04-15 21:26:43
278,Conselheiro Lafaiete,-20.6603,-43.7861,62.1,88,85,7.16,BR,2022-04-15 21:24:16
279,Walvis Bay,-22.9575,14.5053,58.15,82,0,2.3,NA,2022-04-15 21:26:43
280,Sabang,5.8933,95.3214,83.32,72,98,4.68,ID,2022-04-15 21:26:44
281,Umm Lajj,25.0213,37.2685,76.37,53,0,5.82,SA,2022-04-15 21:26:31
282,Rodrigues Alves,-7.738,-72.6509,75.4,85,98,1.61,BR,2022-04-15 21:26:44
283,Sao Joao Da Barra,-21.6403,-41.0511,73.49,59,99,21.7,BR,2022-04-15 21:26:44
284,San Roque,36.2107,-5.3842,63.43,77,68,4.61,ES,2022-04-15 21:26:45
285,Flinders,-34.5833,150.8552,60.39,91,98,3.0,AU,2022-04-15 21:26:45
286,Perbaungan,3.5679,98.956,77.11,93,100,4.5,ID,2022-04-15 21:26:45
287,Chiang Khong,20.2613,100.4046,77.5,47,68,2.04,TH,2022-04-15 21:26:46
288,Lazarev,52.225,141.5131,29.39,89,100,16.44,RU,2022-04-15 21:26:46
289,Atar,20.5169,-13.0499,81.81,12,0,4.32,MR,2022-04-15 21:26:46
290,Jurm,36.8648,70.8342,58.1,48,0,2.95,AF,2022-04-15 21:26:47
291,Blackwater,-23.5833,148.8833,64.29,73,0,5.26,AU,2022-04-15 21:26:47
292,Santona,43.4439,-3.4576,55.71,89,0,1.72,ES,2022-04-15 21:26:47
293,San Patricio,28.017,-97.5169,84.15,58,81,17.98,US,2022-04-15 21:26:48
294,Puerto Carreno,6.189,-67.4859,96.78,41,20,5.75,CO,2022-04-15 21:26:48
